population_group,measure,location,sex,age,cause,metric,year,val,upper,lower
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,AVC hemorrágico,Número,1990,43317.311248372025,47055.14190586908,40019.761968709936
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Aneurisma da aorta,Número,1990,2844.378100702321,3045.693415202375,2673.476476231428
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Doença pulmonar obstrutiva crônica,Número,1991,31747.308596805837,34176.14755571709,29161.91753242753
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Doença pulmonar obstrutiva crônica,Número,1992,33926.05450923071,36660.50800659061,31105.774146134183
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,"Câncer de traqueia, brônquios e pulmão",Número,1990,14033.077544734317,14683.659332071978,13404.528905224432
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Doença pulmonar obstrutiva crônica,Número,1993,37702.741649585994,40686.78523834546,34432.09648259569
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Leucemia mieloide aguda,Número,1990,2023.2374276614923,2204.4365757459404,1850.7855159500568
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Doença pulmonar obstrutiva crônica,Número,1994,39096.24004064525,42250.728302479954,35674.286449932835
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,AVC isquêmico,Número,1993,56277.79701391137,60793.282946452004,52074.355720433094
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,AVC hemorrágico,Número,1993,45467.84105941011,49429.04489531544,42112.117730468344
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Aneurisma da aorta,Número,1993,3622.430547095061,3852.8097022915663,3375.2961712488536
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Doença pulmonar obstrutiva crônica,Número,1995,41566.61527836507,44798.96104822505,37727.66520286396
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,"Câncer de traqueia, brônquios e pulmão",Número,1992,15114.721741519481,15869.574575182314,14390.271151039105
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,AVC isquêmico,Número,1991,51926.63689813772,56052.81953482737,47821.85506201914
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,AVC hemorrágico,Número,1991,42421.157197769506,45771.52893948767,39222.80457744829
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Aneurisma da aorta,Número,1991,2981.028221289022,3207.7535312271175,2798.187138322179
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,AVC isquêmico,Número,1992,53410.47436151892,57706.06797538711,49297.6130271086
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,AVC hemorrágico,Número,1992,43668.67440607903,47367.45542127031,40615.485814281325
